company,raw_job_title,source_url,is_2027,relevance_score,matched_target_keywords,low_relevance_keywords,recommendation,reasons,status,review_status
字节跳动,供给策略产品运营实习生-TikTok Shop 北京实习运营日常实习职位 ID：A176313 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：TikTok Shop 是 TikTok 旗下的内容电商。平台汇聚全球优质商家与创作者，通过短视频、直播等多场景连接消费者，让新奇好物畅销全球，让美好生活触手可得。目前团队分布在美国、英国、法国、印尼、墨西哥、中国等全球多个国家和地区，在这里你将有机会深入国际场景，面向全世界商家及用户，和跨区域团队协作，共同探索创新购物模式。期待和优秀的你一起创造更多可能！ 1、参与商品供给品类洞察、趋势洞察策略分析方案制定，参与平台供给丰富度评估； 2、对数据敏感，有数据处理和分析经验能力，能精准发现策略问题，并提出有效改进方案； 3、参与AI诊断分析报告、AI Agent对话式沟通等，AI相关的运营分析工作。,https://jobs.bytedance.com/campus/position/7660366669840566533/detail,unverified,35,策略、产品运营,,manual_review,暂未确认2027届；匹配目标方向：策略、产品运营；实习岗位 +5,open_unverified,pending
字节跳动,前端研发实习生-国际支付 上海实习研发 - 前端ByteIntern职位 ID：A54671A ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、使用ReactJS及现代Web技术，开发、维护与重构高性能、可复用的前端应用及用户界面； 2、设计并搭建模块化、可扩展的组件体系与内部前端库，提升研发效率与交互一致性； 3、与后端工程师协作，完成前端界面与服务端逻辑、API及全球支付/金融系统的联调对接； 4、针对多设备、多地区场景，优化Web应用的性能、可访问性、响应式体验与扩展性； 5、与UI/UX设计师紧密配合，将设计方案落地为技术可行、体验优质的用户产品； 6、参与代码评审、工程规范建设，持续优化研发流程；探索并应用AI工具与技术，提升研发效率、代码质量与用户交互体验；协同产品、设计及跨职能工程团队，交付稳定、可靠、以用户为中心的产品。,https://jobs.bytedance.com/campus/position/7605194554154535173/detail,yes,30,国际支付,代码质量,manual_review,明确匹配2027届 +35；匹配目标方向：国际支付；低相关技术方向：代码质量；实习岗位 +5,open_unverified,pending
字节跳动,前端研发实习生-国际支付 北京实习研发 - 前端ByteIntern职位 ID：A23731A ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、使用ReactJS及现代Web技术，开发、维护与重构高性能、可复用的前端应用及用户界面； 2、设计并搭建模块化、可扩展的组件体系与内部前端库，提升研发效率与交互一致性； 3、与后端工程师协作，完成前端界面与服务端逻辑、API及全球支付/金融系统的联调对接； 4、针对多设备、多地区场景，优化Web应用的性能、可访问性、响应式体验与扩展性； 5、与UI/UX设计师紧密配合，将设计方案落地为技术可行、体验优质的用户产品； 6、参与代码评审、工程规范建设，持续优化研发流程；探索并应用AI工具与技术，提升研发效率、代码质量与用户交互体验；协同产品、设计及跨职能工程团队，交付稳定、可靠、以用户为中心的产品。,https://jobs.bytedance.com/campus/position/7605194510633912581/detail,yes,30,国际支付,代码质量,manual_review,明确匹配2027届 +35；匹配目标方向：国际支付；低相关技术方向：代码质量；实习岗位 +5,open_unverified,pending
字节跳动,AI数据开发实习生-国际支付 上海实习研发 - 大数据日常实习职位 ID：A195324 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！ 1、参与字节跳动国际支付业务离线和实时数据仓库建设工作； 2、面向PB级数据问题，每天处理千亿增量的用户行为数据； 3、为大数据的全生命周期提供服务，覆盖数据产生、传输、建模、统计分析、实验评估、可视化的全流程； 4、构建设计良好的数据流、数据仓库，降低数据的使用门槛，保证系统稳定高效运行，以实现数据的最大价值； 5、参与大模型提效应用的建设，参与数据归因、数据取数Agent以及AB实验报告自动化的建设。,https://jobs.bytedance.com/campus/position/7661947218904041781/detail,unverified,20,国际支付,,manual_review,暂未确认2027届；匹配目标方向：国际支付；实习岗位 +5,open_unverified,pending
字节跳动,AI应用全栈开发实习生-剪映CapCut 深圳实习研发 - 前端日常实习职位 ID：A142911 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：剪映研发团队，主要支持剪映、CapCut、醒图、Hypic、即梦、Dreamina、小云雀、Pippit等多款国内外产品的研发工作，业务覆盖多元化影像创作场景，并孵化了多款AIGC明星产品，相关产品多次登顶国内外App Store 免费应用榜第一，并继续保持高速增长。加入我们，一起打造全球最受用户欢迎的影像创作和GenAI产品。 1、负责剪映商业化方向的研发、优化与架构设计工作，基于新的创作场景与AIGC、大模型的结合点，实现创新功能； 2、负责剪映商业化方向的研发，如付费素材、广告、支付等，实现商业化收入的增长； 3、负责项目重点、难点的技术攻坚任务，持续优化产品，提升产品质量； 4、共同建设抖音、西瓜视频的视频内容创作生态，在行业之间建立技术壁垒。,https://jobs.bytedance.com/campus/position/7660867882851092789/detail,unverified,20,商业化,,manual_review,暂未确认2027届；匹配目标方向：商业化；实习岗位 +5,open_unverified,pending
字节跳动,Agentic RL For Long Horizon Task-剪映数据与智能团队 深圳正式研发 - 算法2027届前沿技术领域人才校招职位 ID：A161076A 团队介绍：剪映数据与智能团队旨在通过 AI 技术赋能剪映系产品，构建强大的算法能力壁垒。作为剪映系内的算法团队，负责推动整个业务在算法上的迭代与创新，为剪映、CapCut、即梦dreamina、Pippit、醒图等产品提供智能化支持。 课题介绍： Seedance2.0发布后，创作Agent进入深水区，无论是漫剧/短剧/视频/图片都有新的飞跃，为了快速满足用户高质量的创作需求，尤其是超过15s的成片，需要一个涉及多轮Function Call的创作Agent去完成，涉及大量工具的调用，包括不限于意图，分镜，创意，故事性，故事版等。我们打造基于Agentic RL的Agent赋能业务。 Agentic RL在训练 Long-Horizon Tasks有一系列核心难点，本质上比传统RL更复杂，“Agent”不仅要行动，还要规划、分解任务、记忆上下文。 具体难点： 1、Sparse Rewards； 2、Credit Assignment； 3、Planning & Decomposition； 4、Huge State Space； 5、Memory； 6、Exploration； 7、Optimization Difficulty； 8、复杂的Agent交互环境 我们需要解决Agentic RL在多轮Function Call，多个Tools和Skills下的长任务训练问题。 课题挑战： 1、Sparse Rewards a、稀疏奖励，如何设计合理的奖励 2、Credit Assignment a、如何解决信用分配问题 3、Planning & Decomposition a、如何拆解子目标 b、子目标的合理性 4、复杂的Agent交互环境 a、特别长的上下文 b、很多的Tools or Skills 5、训练的稳定性 a、同步、异步RL b、Rollout效率 课题价值： 技术价值： Agentic RL在Long Horizon Task是业内公认的难题，是处理复杂任务，Agent任务必须要攻克的难题，是提升大模型Agent效果上限的关键难题。 业务价值： 1、Long Horizon Task的解决会极大提升剪映各创作agent在处理长任务时的效果，使自研模型对比基座取得行业SOTA； 2、该技术的突破，可以落地更多更复杂的业务场景，尤其对目前的Sandbox Skill等架构有天然的适配。,https://jobs.bytedance.com/campus/position/7628589792160696581/detail,yes,10,,算法,low_priority,明确匹配2027届 +35；低相关技术方向：算法,open_unverified,pending
字节跳动,直播&视频算法实习生-抖音电商 上海实习研发 - 算法ByteIntern职位 ID：A111183 ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：抖音电商算法团队，依托抖音、今日头条、番茄小说、红果短剧等产品，帮助用户发现、讨论并获得好物，享受美好生活；帮助商家高效经营，创建良性商业生态；激励创作并分享购物经验使用心得，构建有真诚有信息的电商内容氛围。在这个团队，我们不仅要通过推荐、广告和搜索算法搭建消费者和商家之间的桥梁，也要通过风控算法和治理算法去甄别违规行为，保护用户的购物体验，保护真正诚信经营的商家；我们还要建设智能客服技术、大规模商品知识图谱来提升各个交易环节的效率，降低商家的经营成本；我们也要结合机器学习和运筹算法，来优化供应链和物流的效率和成本，并进一步提升用户物流体验；另外我们还会用业界先进的数据科学技术为业务健康发展保驾护航。我们的使命：用算法的能力，让用户总能发现好东西，让美好生活触手可得。 1、支持抖音电商直播等业务的流量分发策略，提升转化效率和购物体验，探索新商业模式； 2、利用海量数据构建行业领先的机器学习算法与在线服务，实现用户与商品的精准高效匹配； 3、深入分析电商用户、创作者、商家等群体特征，优化供给与需求结构，完善电商生态，深入分析电商用户、创作者、商家的业务特征，结合大模型能力优化供给生态； 4、负责流量分发相关模块的策略规划与持续优化，推动业务指标提升； 5、与产品、运营、工程等多团队紧密协作，将算法能力高效落地到业务场景。,https://jobs.bytedance.com/campus/position/7597384641381124405/detail,yes,10,策略、供应链、风控,算法、机器学习、视频算法,low_priority,明确匹配2027届 +35；匹配目标方向：策略、供应链、风控；低相关技术方向：算法、机器学习、视频算法；实习岗位 +5,open_unverified,pending
字节跳动,前端开发实习生-SRE 上海实习研发 - 前端ByteIntern职位 ID：A02550 ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：字节跳动基础架构SRE团队，主要负责构建字节跳动私有云的组件服务和稳定性保障，支撑今日头条、西瓜视频、火山小视频、抖音等字节跳动旗下全产品线。Site reliability engineering(SRE)致力于打造高扩展、高可用系统，并将其贯彻为原则的软件工程师。 1、负责公有云、混合云等云产品业务前端开发工作； 2、参与通用组件、中后台建站、研发效能等工程化建设； 3、深入发掘和分析业务需求，撰写技术方案和系统实现。,https://jobs.bytedance.com/campus/position/7594678688882542901/detail,yes,-10,,前端开发、SRE,low_priority,明确匹配2027届 +35；低相关技术方向：前端开发、SRE；实习岗位 +5,open_unverified,pending
字节跳动,代码质量大模型算法实习生-质量技术 上海实习研发 - 算法ByteIntern职位 ID：A196606A ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。 团队介绍：字节跳动质量技术团队，我们聚焦质量领域前沿创新，打造稳定、高效、领先的质量技术，深度赋能抖音、今日头条、豆包、电商等亿级用户产品。 当前，我们通过AI来检测代码、架构、产品的缺陷、风险和效果，用AI重构质量保障模式，提升研发效能。聚焦智能缺陷检测、GUI agent、AI评测等前沿方向，希望通过质量技术的突破，用AI改变测试行业。欢迎加入，与我们一起，定义和构建下一代质量技术，推动行业前进。 1、负责大模型技术在软件智能交付领域的相关应用技术研发，业务场景包括但不限于知识图谱、代码生成、智能交互、风险预测挖掘、智能归因、缺陷修复、故障自愈； 2、洞察AIGC等前沿技术领域的最新研究成果，探索工业领域落地可行性，并持续提升算法应用效果； 3、探索大模型技术在研发效能领域中的落地应用，为研发效率提升提供智能服务； 4、深度参与项目研发，与产品和业务团队同学保持密切配合，不断优化项目整体效益，提升用户体验。,https://jobs.bytedance.com/campus/position/7595092504383752501/detail,yes,-35,,算法、大模型算法、代码质量,low_priority,明确匹配2027届 +35；低相关技术方向：算法、大模型算法、代码质量；实习岗位 +5,open_unverified,pending
字节跳动,前端开发实习生-开发者服务 北京实习研发 - 前端日常实习职位 ID：A82965A 日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 团队介绍：字节跳动开发者服务团队负责公司研发工具与基础设施体系建设，为内部开发者提供覆盖全技术栈的框架、工具和研发体系能力，支撑业务高效稳定迭代。 在此基础上，团队正打造面向全场景的AI Agent平台，将大模型与公司内部工程知识深度结合，覆盖需求分析、编码开发、测试发布、运维治理等软件全生命周期，帮助ByteDancer显著提升生产力，重塑开发者服务的形态与体验。 期待对研发工具体系、AI工程生产力有热情、希望在大规模真实场景中打磨技术的同学加入，与我们一起建设新一代开发者基础设施，共同成长！ 1、负责字节跳动公司级一站式研发平台（DevOps）前端开发工作； 2、负责应用软件开发工具链与AI相结合的产品建设，重点关注前端AI提效（代码生成、智能测试、AI辅助CI/CD）； 3、参与通用组件、中后台建站、研发效能等工程化建设； 4、深入发掘和分析业务需求，撰写技术方案和系统实现。,https://jobs.bytedance.com/campus/position/7615552817252731189/detail,unverified,-45,,前端开发、运维,low_priority,暂未确认2027届；低相关技术方向：前端开发、运维；实习岗位 +5,open_unverified,pending
